lsb,clf,accuracy,recall,precision,f1,conf_mat
18,HistGradientBoosting,0.2355,0.23,0.23255813953488372,0.23127199597787831,"[[241 759]
 [770 230]]"
18,GradientBoosting,0.4235,0.44,0.4259438528557599,0.4328578455484505,"[[407 593]
 [560 440]]"
18,RandomForest,0.125,0.116,0.11812627291242363,0.1170534813319879,"[[134 866]
 [884 116]]"
19,HistGradientBoosting,0.3055,0.293,0.3005128205128205,0.29670886075949365,"[[318 682]
 [707 293]]"
19,GradientBoosting,0.436,0.438,0.4362549800796813,0.437125748502994,"[[434 566]
 [562 438]]"
19,RandomForest,0.203,0.17,0.18201284796573874,0.17580144777662876,"[[236 764]
 [830 170]]"
20,HistGradientBoosting,0.432,0.411,0.4290187891440501,0.41981613891726255,"[[453 547]
 [589 411]]"
20,GradientBoosting,0.4695,0.461,0.46897253306205494,0.46495209278870403,"[[478 522]
 [539 461]]"
20,RandomForest,0.424,0.342,0.4090909090909091,0.37254901960784315,"[[506 494]
 [658 342]]"
21,HistGradientBoosting,0.5895,0.531,0.6013590033975085,0.5639936271906532,"[[648 352]
 [469 531]]"
21,GradientBoosting,0.5485,0.488,0.5551763367463026,0.5194252261841404,"[[609 391]
 [512 488]]"
21,RandomForest,0.7095,0.649,0.7383390216154722,0.690792974986695,"[[770 230]
 [351 649]]"
22,HistGradientBoosting,0.7875,0.74,0.8176795580110497,0.7769028871391076,"[[835 165]
 [260 740]]"
22,GradientBoosting,0.6675,0.618,0.6859045504994451,0.6501841136244082,"[[717 283]
 [382 618]]"
22,RandomForest,0.8945,0.86,0.9237379162191193,0.8907301916105645,"[[929  71]
 [140 860]]"
23,HistGradientBoosting,0.884,0.835,0.9257206208425721,0.8780231335436383,"[[933  67]
 [165 835]]"
23,GradientBoosting,0.76,0.718,0.7838427947598253,0.7494780793319415,"[[802 198]
 [282 718]]"
23,RandomForest,0.926,0.888,0.961038961038961,0.923076923076923,"[[964  36]
 [112 888]]"
